resource_id,resource_name,resource_url,description,format,type,runtime,subject_areas,authoring_organization,intended_audiences,content_soup
L000827112,five questions you can answer using the ncbi gene database,https://www.youtube.com/watch?v=tGP_x9kKABM,the gene resource at ncbi is central hub for accessing nearly all molecular and literature resources for particular gene you can easily answer the most common questions and perform the most common tasks by starting in gene in this webinar intended for librarians who support ncbi molecular databases you will learn about the structure and contents of the gene resource and how to use gene to answer the following questions about gene where is the gene located chromosome and position in the genome assembly what are the reference genomic transcript and protein sequences for the gene what variations are present in the gene and are they associated with disease in what tissues and under what conditions is the gene expressed what are the equivalent genes homologs in other species,MP4 Video,youtube video,53.0,genetics and molecular biology,network of the national library of medicine,everyone,five questions you can answer using the ncbi gene database the gene resource at ncbi is central hub for accessing nearly all molecular and literature resources for particular gene you can easily answer the most common questions and perform the most common tasks by starting in gene in this webinar intended for librarians who support ncbi molecular databases you will learn about the structure and contents of the gene resource and how to use gene to answer the following questions about gene where is the gene located chromosome and position in the genome assembly what are the reference genomic transcript and protein sequences for the gene what variations are present in the gene and are they associated with disease in what tissues and under what conditions is the gene expressed what are the equivalent genes homologs in other species genetics and molecular biology youtube video everyone network of the national library of medicine
L004842112,for all the people century of citizen action in health care reform health care reform and history lesson plans,https://www.nlm.nih.gov/exhibition/forallthepeople/education/highereducation.html,health care reform and history is an educational module divided into six one hour classes covering century of reform struggles from the early 1900s to the present,HTML,webinar source page,Unknown,history of medicine,exhibitions team,everyone educator,for all the people century of citizen action in health care reform health care reform and history lesson plans health care reform and history is an educational module divided into six one hour classes covering century of reform struggles from the early 1900s to the present history of medicine webinar source page everyone educator exhibitions team
L003357112,for all the people century of citizen action in health care reform the power of medicine lesson plans,https://www.nlm.nih.gov/exhibition/forallthepeople/education/lessonplan.html,students first examine and categorize various types of information presented on an online source the power of medicine from the for all the people online exhibition they explore the web content and learn about how some people worked to expand access to health care to more people in the past students focus on two health professional leaders in the exhibition lillian wald who founded the henry street settlement and dr leonidas berry who was president of the national medical association the lesson ends with an assignment where students work in small groups to research and prepare class presentations about leonidas berry or lillian wald,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,for all the people century of citizen action in health care reform the power of medicine lesson plans students first examine and categorize various types of information presented on an online source the power of medicine from the for all the people online exhibition they explore the web content and learn about how some people worked to expand access to health care to more people in the past students focus on two health professional leaders in the exhibition lillian wald who founded the henry street settlement and dr leonidas berry who was president of the national medical association the lesson ends with an assignment where students work in small groups to research and prepare class presentations about leonidas berry or lillian wald 12 education history of medicine page everyone educator exhibitions team
L002886112,for authors pubmed central,https://pmc.ncbi.nlm.nih.gov/about/submission-methods/,this page aims to help authors determine whether their paper is eligible for submission to pmc how it may be deposited and by whom,HTML,help page or faq,Unknown,pubmed central public access,pubmed central team ncbi,everyone,for authors pubmed central this page aims to help authors determine whether their paper is eligible for submission to pmc how it may be deposited and by whom pubmed central public access help page or faq everyone pubmed central team ncbi
L002801112,foundations of citizen science libraries as community hubs for citizen science,https://www.nnlm.gov/training/class-catalog/foundations-citizen-science-libraries-community-hubs-citizen-science,what is citizen science how can get involved this 2 hour on demand online class from nnlm and scistarter org introduces citizen science for librarians staff and community based organization leaders and includes clear specific instructions and case studies on how small midsize or large library or organization can bring citizen science activities and programs to their community this tutorial is available in english and spanish through scistarter org,HTML,on demand course,120.0,consumer health public health,network of the national library of medicine,everyone educator,foundations of citizen science libraries as community hubs for citizen science what is citizen science how can get involved this 2 hour on demand online class from nnlm and scistarter org introduces citizen science for librarians staff and community based organization leaders and includes clear specific instructions and case studies on how small midsize or large library or organization can bring citizen science activities and programs to their community this tutorial is available in english and spanish through scistarter org consumer health public health on demand course everyone educator network of the national library of medicine
L003345112,frankenstein penetrating the secrets of nature lesson plans,https://www.nlm.nih.gov/exhibition/frankenstein/education/index.html,frankenstein penetrating the secrets of nature presents the following classroom resources for 12 and undergraduate educators and their students the resources offer templates for incorporating the exhibition scholarly content in order to help students learn by examining and analyzing primary and secondary source visual and textual materials they promote students consideration of science and society as whole and develop historical perspectives on how scientific endeavors influence as well as are shaped by society and culture educators are welcome to adapt these resources in whole or in part as they deem appropriate for students interests and learning goals,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,frankenstein penetrating the secrets of nature lesson plans frankenstein penetrating the secrets of nature presents the following classroom resources for 12 and undergraduate educators and their students the resources offer templates for incorporating the exhibition scholarly content in order to help students learn by examining and analyzing primary and secondary source visual and textual materials they promote students consideration of science and society as whole and develop historical perspectives on how scientific endeavors influence as well as are shaped by society and culture educators are welcome to adapt these resources in whole or in part as they deem appropriate for students interests and learning goals 12 education history of medicine page everyone educator exhibitions team
L003358112,from dna to beer harnessing nature in medicine and industry acquired and passive immunity diphtheria antitoxin serum lesson plan,https://www.nlm.nih.gov/exhibition/fromdnatobeer/education/lesson-plans.html,this lesson plan uses the living factories section of the from dna to beer site so that students learn about how horses and other animals were used to develop and produce antitoxin serum in order to prevent children with diphtheria from dying of suffocation students learn about and define acquired and passive immunity in animals as they explore the horse immune response to the diphtheria toxin injection and the horse antitoxin serum that could prevent death in diphtheria patients the lesson plan is developed in collaboration with samantha candia francis scott key middle school silver spring md with contributions by the 2013 teacher institute participants,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,from dna to beer harnessing nature in medicine and industry acquired and passive immunity diphtheria antitoxin serum lesson plan this lesson plan uses the living factories section of the from dna to beer site so that students learn about how horses and other animals were used to develop and produce antitoxin serum in order to prevent children with diphtheria from dying of suffocation students learn about and define acquired and passive immunity in animals as they explore the horse immune response to the diphtheria toxin injection and the horse antitoxin serum that could prevent death in diphtheria patients the lesson plan is developed in collaboration with samantha candia francis scott key middle school silver spring md with contributions by the 2013 teacher institute participants 12 education history of medicine page everyone educator exhibitions team
L004843112,from dna to beer harnessing nature in medicine and industry engineering the genes ethical dilemmas in modern biotechnology lesson plan,https://www.nlm.nih.gov/exhibition/fromdnatobeer/education/higher-education-module.html,this higher education module sets developments in biotechnology since the 1970s into historical context and addresses the ethical issues they raise,HTML,webinar source page,Unknown,history of medicine,exhibitions team,everyone educator,from dna to beer harnessing nature in medicine and industry engineering the genes ethical dilemmas in modern biotechnology lesson plan this higher education module sets developments in biotechnology since the 1970s into historical context and addresses the ethical issues they raise history of medicine webinar source page everyone educator exhibitions team
L000927112,from movies to meals senior services and spaces at your local library,https://youtu.be/AxRh9UmHxz8,libraries often are the de facto senior centers of our growing and aging communities the marion public library embraces this role through program design community feedback and strategic partnerships in addition to traditional library programming the library works to meet the nutritional and social needs of seniors through twice weekly congregate meals as well as monthly mobile food pantry visit speakers dawn cline is the outreach services coordinator at the marion public library marion native her work includes serving as the library liaison to multiple community groups cline was instrumental in bringing senior meals to the marion library spring 2018 madeline jarvis is the adult and information services coordinator at the marion public library her work includes overseeing tween teen and adult programming collection development and wearing many hats,MP4 Video,webinar,53.0,senior health,network of the national library of medicine,everyone,from movies to meals senior services and spaces at your local library libraries often are the de facto senior centers of our growing and aging communities the marion public library embraces this role through program design community feedback and strategic partnerships in addition to traditional library programming the library works to meet the nutritional and social needs of seniors through twice weekly congregate meals as well as monthly mobile food pantry visit speakers dawn cline is the outreach services coordinator at the marion public library marion native her work includes serving as the library liaison to multiple community groups cline was instrumental in bringing senior meals to the marion library spring 2018 madeline jarvis is the adult and information services coordinator at the marion public library her work includes overseeing tween teen and adult programming collection development and wearing many hats senior health webinar everyone network of the national library of medicine
L005817112,from problem to prevention evidence based public health,https://www.youtube.com/watch?v=9al772St2c4,learn the basics of evidence based public health ebph and essential steps of the ebph process through the lens of nlm and other resources in this one hour webinar,MP4 Video,youtube video,57.0,public health,network of the national library of medicine,everyone,from problem to prevention evidence based public health learn the basics of evidence based public health ebph and essential steps of the ebph process through the lens of nlm and other resources in this one hour webinar public health youtube video everyone network of the national library of medicine
L004243112,fundamentals of health sciences research data management requires free registration,https://www.nnlm.gov/training/class-catalog/fundamentals-health-sciences-research-data-management,this class is designed to provide information professionals working in health sciences with an introduction to research data management the primary goal of this course is to improve your knowledge and skills in research data management and enable you to add or enhance research data management training and services at your institution this 8 week course will have participants read foundational texts in research data management engage in discussions with other participants complete assignments designed to improve knowledge and skills and develop final project of teaching concept from the course or delivering presentation on library roles in research data management participants will work with course facilitators and community experts to complete course assignments and gain an understanding of the role of research data management in libraries when this class is offered participation will be capped at 60 so if you are interested in applying to register for this course please commit to spending 3 total hours per week engaging with the course readings and assignments,HTML,on demand course,Unknown,data management,network of the national library of medicine,everyone educator,fundamentals of health sciences research data management requires free registration this class is designed to provide information professionals working in health sciences with an introduction to research data management the primary goal of this course is to improve your knowledge and skills in research data management and enable you to add or enhance research data management training and services at your institution this 8 week course will have participants read foundational texts in research data management engage in discussions with other participants complete assignments designed to improve knowledge and skills and develop final project of teaching concept from the course or delivering presentation on library roles in research data management participants will work with course facilitators and community experts to complete course assignments and gain an understanding of the role of research data management in libraries when this class is offered participation will be capped at 60 so if you are interested in applying to register for this course please commit to spending 3 total hours per week engaging with the course readings and assignments data management on demand course everyone educator network of the national library of medicine
L00231080,fundamentals of the nlm classification tutorial,https://www.nlm.nih.gov/tsd/cataloging/trainingcourses/classification/intro_010.html,9 module training course on using the nlm classification,HTML,tutorial,Unknown,nlm classification,metadata management program,everyone,fundamentals of the nlm classification tutorial 9 module training course on using the nlm classification nlm classification tutorial everyone metadata management program
L00596080,genbank submissions,https://www.youtube.com/playlist?list=PL7dF9e2qSW0ZqrXzouzddPYXXZdbr-RCz,series of webinars presented from december 17 2014 to april 13 2016 outlining use of bankit web based submission tool at ncbi to submit sequence data to the genbank database,MP4 Video,youtube video,58.0,genetics and molecular biology bioinformatics developmental biology microbiology immunology agriculture cancer,training team ncbi,everyone,genbank submissions series of webinars presented from december 17 2014 to april 13 2016 outlining use of bankit web based submission tool at ncbi to submit sequence data to the genbank database genetics and molecular biology bioinformatics developmental biology microbiology immunology agriculture cancer youtube video everyone training team ncbi
L001763112,general pilot faqs,https://pmc.ncbi.nlm.nih.gov/about/nihpreprints-faq/#genfaq,look at some of the details of pilot implementation such as inclusion in pubmed and search strategies,HTML,page,Unknown,pubmed central preprints,pubmed central team ncbi,everyone,general pilot faqs look at some of the details of pilot implementation such as inclusion in pubmed and search strategies pubmed central preprints page everyone pubmed central team ncbi
L005902112,generative ai in health sciences libraries what to do now,https://www.youtube.com/watch?v=TjEETbZty0w,in this webinar lauren hays will share about the current state of generative ai then she will lead discussion about how this technology is impacting health sciences libraries and how it may impact health sciences libraries in the future the webinar will end with information on how to effectively incorporate generative ai and address challenges it creates,MP4 Video,youtube video,54.0,data science,network of the national library of medicine,everyone,generative ai in health sciences libraries what to do now in this webinar lauren hays will share about the current state of generative ai then she will lead discussion about how this technology is impacting health sciences libraries and how it may impact health sciences libraries in the future the webinar will end with information on how to effectively incorporate generative ai and address challenges it creates data science youtube video everyone network of the national library of medicine
L004991112,genetic testing registry,https://youtu.be/tHW4nAlm16Y,this video provides an overview of the genetic testing registry gtr,MP4 Video,youtube video,3.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,genetic testing registry this video provides an overview of the genetic testing registry gtr genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004501112,genetic testing registry gtr submission portal improvements,https://www.youtube.com/watch?v=FjdLZ8oWkEQ,this video describes improvements to the gtr submission portal these changes are designed to streamline your submissions and provide more intuitive submission experience detailed examples of the improvements are provided,MP4 Video,youtube video,5.0,genetics and molecular biology,training team ncbi,everyone educator,genetic testing registry gtr submission portal improvements this video describes improvements to the gtr submission portal these changes are designed to streamline your submissions and provide more intuitive submission experience detailed examples of the improvements are provided genetics and molecular biology youtube video everyone educator training team ncbi
L005681112,genetics 101 resource guide,https://www.nnlm.gov/guides/genetics-101-resource-guide,this resource guide provides an introduction to key terms concepts and ncbi databases related to human genetics the intended audience is users of nlm ncbi resources researchers students and information professionals,HTML,page,Unknown,genetics and molecular biology,network of the national library of medicine,everyone educator,genetics 101 resource guide this resource guide provides an introduction to key terms concepts and ncbi databases related to human genetics the intended audience is users of nlm ncbi resources researchers students and information professionals genetics and molecular biology page everyone educator network of the national library of medicine
L001531112,genome data viewer analyzing remote bam alignment files and other tips,https://www.youtube.com/watch?v=KaLgr6dIcQs,this video shows you how to upload remote bam files and succinctly demonstrates handy viewer settings such as pileup display options and highlights the very helpful tooltips,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,genome data viewer analyzing remote bam alignment files and other tips this video shows you how to upload remote bam files and succinctly demonstrates handy viewer settings such as pileup display options and highlights the very helpful tooltips genetics and molecular biology youtube video everyone training team ncbi
L002141112,genome data viewer introducing table view new way to navigate assemblies,https://www.youtube.com/watch?v=QJRAoUChK3w,provides very brief refresher on the genome data viewer home page then introduces new way to view and download assemblies table view offers an easier way to see all the assemblies available for one organism and for larger taxonomic groups,MP4 Video,youtube video,3.0,genetics and molecular biology other,training team ncbi,everyone,genome data viewer introducing table view new way to navigate assemblies provides very brief refresher on the genome data viewer home page then introduces new way to view and download assemblies table view offers an easier way to see all the assemblies available for one organism and for larger taxonomic groups genetics and molecular biology other youtube video everyone training team ncbi
L002081112,genome data viewer navigate exons and find cds positions,https://www.youtube.com/watch?v=EVNABwOCt_s,shows you different ways to explore exons in gene transcripts find cds and protein positions use hgvs like expressions to locate positions and download exon sequence,MP4 Video,youtube video,4.0,genetics and molecular biology other,training team ncbi,everyone,genome data viewer navigate exons and find cds positions shows you different ways to explore exons in gene transcripts find cds and protein positions use hgvs like expressions to locate positions and download exon sequence genetics and molecular biology other youtube video everyone training team ncbi
L001521112,genome data viewer tips for zooming to chromosomal regions,https://www.youtube.com/watch?v=4WRUNovZ-aA&t=2s,the genome data viewer or gdv is ncbi genome browser we continue to update and add new functions including the chromosome region selector the focus of this video,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,genome data viewer tips for zooming to chromosomal regions the genome data viewer or gdv is ncbi genome browser we continue to update and add new functions including the chromosome region selector the focus of this video genetics and molecular biology youtube video everyone training team ncbi
L002644112,genome workbench update sequence,https://www.youtube.com/watch?v=1SQ9tGxM4Bs,how to update your genbank sequences with new annotation or sequence,MP4 Video,youtube video,7.0,genetics and molecular biology other,training team ncbi,everyone educator,genome workbench update sequence how to update your genbank sequences with new annotation or sequence genetics and molecular biology other youtube video everyone educator training team ncbi
L000742112,genomic data sharing policy and dbgap submissions,https://www.youtube.com/watch?v=aGnFLTHCE04&feature=youtu.be,in this webinar presented mainly for nih intramural investigators engaged in gwas and other genomic research efforts at nih you will learn about working with your genomics program administrator to register your study in dbgap and how to prepare your project metadata files phenotypes and molecular data for submission to dbgap although this presentation is intended for nih intramural researchers it will also help those outside nih who plan to submit data to dbgap,MP4 Video,youtube video,49.0,genetics and molecular biology my ncbi data management,training team ncbi,developer,genomic data sharing policy and dbgap submissions in this webinar presented mainly for nih intramural investigators engaged in gwas and other genomic research efforts at nih you will learn about working with your genomics program administrator to register your study in dbgap and how to prepare your project metadata files phenotypes and molecular data for submission to dbgap although this presentation is intended for nih intramural researchers it will also help those outside nih who plan to submit data to dbgap genetics and molecular biology my ncbi data management youtube video developer training team ncbi
L003142112,getting started with ncbi data in python,https://www.nlm.nih.gov/oet/ed/ncbi/2022_04_python.html,on april 19 the ncbi education team provided workshop on getting started with ncbi data in python training materials from this event are available on this page,HTML,webinar source page,168.0,genetics and molecular biology ncbi workshops,training team ncbi,everyone educator,getting started with ncbi data in python on april 19 the ncbi education team provided workshop on getting started with ncbi data in python training materials from this event are available on this page genetics and molecular biology ncbi workshops webinar source page everyone educator training team ncbi
L002807112,getting started with ncbi data in python,https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_python.html,on december 14 the ncbi education team provided workshop on getting started with ncbi data in python training materials from this event are available on this page learn how to tackle bigger biomolecular datasets more reliably with the power of python programming this workshop is designed for biologists without programming experience our examples will use genomic transcript and protein sequence data but the programming skills will be broadly relevant for all biologists,HTML,webinar source page,167.0,genetics and molecular biology ncbi workshops,training team ncbi,everyone,getting started with ncbi data in python on december 14 the ncbi education team provided workshop on getting started with ncbi data in python training materials from this event are available on this page learn how to tackle bigger biomolecular datasets more reliably with the power of python programming this workshop is designed for biologists without programming experience our examples will use genomic transcript and protein sequence data but the programming skills will be broadly relevant for all biologists genetics and molecular biology ncbi workshops webinar source page everyone training team ncbi
L002321112,getting the full picture with clinicaltrials gov,https://www.nlm.nih.gov/oet/ed/ct/full_picture.html,kristina elliott from the national library of medicine discusses the role of href https clinicaltrials gov clinicaltrials gov in making the results of clinical research transparent to the public this presentation was created for the 2018 medical library association mla annual meeting,MP4 Video,video tutorial,15.0,clinicaltrials gov,training team user engagement program,everyone educator,getting the full picture with clinicaltrials gov kristina elliott from the national library of medicine discusses the role of href https clinicaltrials gov clinicaltrials gov in making the results of clinical research transparent to the public this presentation was created for the 2018 medical library association mla annual meeting clinicaltrials gov video tutorial everyone educator training team user engagement program
L000973112,getting the right information to patients using medlineplus connect tutorial requires free registration,https://www.nnlm.gov/training/class-catalog/getting-right-information-patients-using-medlineplus-connect,this one hour training session with videos and exercises is intended to introduce you to what medlineplus connect does and how and point you to resources for implementing medlineplus connect at your institution,HTML,on demand course,60.0,medlineplus clinical medicine consumer health health care technology,training team user engagement program,everyone educator developer,getting the right information to patients using medlineplus connect tutorial requires free registration this one hour training session with videos and exercises is intended to introduce you to what medlineplus connect does and how and point you to resources for implementing medlineplus connect at your institution medlineplus clinical medicine consumer health health care technology on demand course everyone educator developer training team user engagement program
L003346112,graphic medicine mental health lesson plan,https://www.nlm.nih.gov/exhibition/graphicmedicine/education-lessonplan1.html,students explore the graphic novel format used for personal stories of illnesses known as graphic medicine,HTML,page,Unknown,12 education history of medicine,exhibitions team,everyone educator,graphic medicine mental health lesson plan students explore the graphic novel format used for personal stories of illnesses known as graphic medicine 12 education history of medicine page everyone educator exhibitions team
L003721112,health bytes region 3 use of podcasts to reduce misinformation,https://www.youtube.com/watch?v=nouuigo-vog&list=PLUlRqrjIldD7WWe8pkl2uIhXFzvneYco0,this presentation will share information about project funded by the all of us project in conjunction with the national library of medicine it showcases the use of podcasts to promote health literacy and inform the latinx community about relevant health topics during the covid 19 pandemic it is collaboration of spanish speaking healthcare providers librarians and community organizers the goal is to educate and reduce misinformation within this community about relevant health issues,MP4 Video,youtube video,53.0,other consumer health,network of the national library of medicine,everyone,health bytes region 3 use of podcasts to reduce misinformation this presentation will share information about project funded by the all of us project in conjunction with the national library of medicine it showcases the use of podcasts to promote health literacy and inform the latinx community about relevant health topics during the covid 19 pandemic it is collaboration of spanish speaking healthcare providers librarians and community organizers the goal is to educate and reduce misinformation within this community about relevant health issues other consumer health youtube video everyone network of the national library of medicine
L005809112,health bytes guide to getting started in research and publishing,https://www.youtube.com/watch?v=d6yu93Fcvjw,this webinar is designed to give new professionals look at how to approach publishing and research as new librarians faculty and or professionals starting with idea formation and running through finding collaborators submitting to the irb submitting the first manuscript rewrites and more dr blake will break down the writing research and publication processes into steps designed to help new or accomplished professionals to more easily move through each area,MP4 Video,youtube video,55.0,health services research public access,network of the national library of medicine,everyone,health bytes guide to getting started in research and publishing this webinar is designed to give new professionals look at how to approach publishing and research as new librarians faculty and or professionals starting with idea formation and running through finding collaborators submitting to the irb submitting the first manuscript rewrites and more dr blake will break down the writing research and publication processes into steps designed to help new or accomplished professionals to more easily move through each area health services research public access youtube video everyone network of the national library of medicine
L005883112,health bytes ai in healthcare balancing risk and opportunity,https://www.youtube.com/watch?v=GyGp98vvEqA,echnology is advancing at rapid pace in what can feel like every sector of our lives and healthcare is not exempt ai assists in detecting predicting and monitoring health status conditions and behavior and assists in processes related to direct healthcare delivery this presentation provides practical guidance on how to start creating system for the use of ai so healthcare organizations manage ai and leverage it as beneficial tool,MP4 Video,youtube video,51.0,data science,network of the national library of medicine,everyone,health bytes ai in healthcare balancing risk and opportunity echnology is advancing at rapid pace in what can feel like every sector of our lives and healthcare is not exempt ai assists in detecting predicting and monitoring health status conditions and behavior and assists in processes related to direct healthcare delivery this presentation provides practical guidance on how to start creating system for the use of ai so healthcare organizations manage ai and leverage it as beneficial tool data science youtube video everyone network of the national library of medicine
L005908112,health bytes conducting systematic review an overview of the process,https://www.youtube.com/watch?v=N5BXgtqFFZU,high quality systematic review is the most reliable source of evidence to help clinical decision making this presentation will briefly discuss the steps best practices and strategies for conducting systematic review in smaller library setting or for solo librarian with multiple job roles in an academic medical center,MP4 Video,youtube video,57.0,data management,network of the national library of medicine,educator,health bytes conducting systematic review an overview of the process high quality systematic review is the most reliable source of evidence to help clinical decision making this presentation will briefly discuss the steps best practices and strategies for conducting systematic review in smaller library setting or for solo librarian with multiple job roles in an academic medical center data management youtube video educator network of the national library of medicine
L005843112,health bytes enhancing ai interactions clear framework for effective prompting,https://www.youtube.com/watch?v=0gjpB3ew7xQ,this webinar introduces the clear framework structured approach to prompting that enhances interactions with ai systems designed for librarians educators and information professionals the session will provide actionable strategies to craft precise prompts improving ai generated outputs participants will learn to apply the clear framework to improve their ability to teach support patrons and integrate ai technologies into their workflows through theoretical explanations and hands on examples attendees will gain the confidence and skills necessary to harness ai potential in their professional settings,MP4 Video,youtube video,56.0,data science,network of the national library of medicine,educator,health bytes enhancing ai interactions clear framework for effective prompting this webinar introduces the clear framework structured approach to prompting that enhances interactions with ai systems designed for librarians educators and information professionals the session will provide actionable strategies to craft precise prompts improving ai generated outputs participants will learn to apply the clear framework to improve their ability to teach support patrons and integrate ai technologies into their workflows through theoretical explanations and hands on examples attendees will gain the confidence and skills necessary to harness ai potential in their professional settings data science youtube video educator network of the national library of medicine
L005909112,health bytes improving health outcomes ibh value based payment and older adults,https://www.youtube.com/watch?v=y6gJNeNxfQA,this webinar reviews how utilizing an integrated approach to primary care funded by value based care newer payment model which financially incentivizes effective and quality treatment can improve health outcomes patient and staff satisfaction and reduce overall cost of care in senior health clinics,MP4 Video,youtube video,55.0,other consumer health population groups,network of the national library of medicine,educator,health bytes improving health outcomes ibh value based payment and older adults this webinar reviews how utilizing an integrated approach to primary care funded by value based care newer payment model which financially incentivizes effective and quality treatment can improve health outcomes patient and staff satisfaction and reduce overall cost of care in senior health clinics other consumer health population groups youtube video educator network of the national library of medicine
L005806112,health bytes nnlm r3 project overview powering clinics communities with pubmed,https://www.youtube.com/watch?v=zSk-xjMC38U,this webinar is designed to provide general overview of the nnlm grant submission process with focus on assessing needs within library organization or community identifying potential funding sources crafting strong grant proposal and implementing the project,MP4 Video,youtube video,46.0,pubmed other,network of the national library of medicine,educator,health bytes nnlm r3 project overview powering clinics communities with pubmed this webinar is designed to provide general overview of the nnlm grant submission process with focus on assessing needs within library organization or community identifying potential funding sources crafting strong grant proposal and implementing the project pubmed other youtube video educator network of the national library of medicine
L005907112,health bytes prime time nourish discussing food and the human experience through the lens of children books,https://www.youtube.com/watch?v=Csi49O4MhJ8,prime time nourish allows us to explore the big ideas that arise when we talk about food and the human experience this presentation will highlight program features impact and opportunities for partnership,MP4 Video,youtube video,47.0,consumer health,network of the national library of medicine,everyone,health bytes prime time nourish discussing food and the human experience through the lens of children books prime time nourish allows us to explore the big ideas that arise when we talk about food and the human experience this presentation will highlight program features impact and opportunities for partnership consumer health youtube video everyone network of the national library of medicine
L005805112,health bytes promotion of digital access literacy among people who use substances,https://www.youtube.com/watch?v=IgW5-izTSWs,this talk reviews feedback from people who use substances in the st louis missouri region about an ongoing digital health intervention discusses how the information gleaned is being actively used to integrate digital literacy into substance use care programming and demonstrates how our research team continues to advocate for the prioritization of digital access and literacy in the region especially for lower income and non white recovery communities,MP4 Video,youtube video,44.0,other consumer health,network of the national library of medicine,everyone,health bytes promotion of digital access literacy among people who use substances this talk reviews feedback from people who use substances in the st louis missouri region about an ongoing digital health intervention discusses how the information gleaned is being actively used to integrate digital literacy into substance use care programming and demonstrates how our research team continues to advocate for the prioritization of digital access and literacy in the region especially for lower income and non white recovery communities other consumer health youtube video everyone network of the national library of medicine
L005863112,health bytes sexual and reproductive health in libraries,https://www.youtube.com/watch?v=4QXvmgzqe9k,looking to provide evidence based sexual and reproductive health information in your library this webinar is for you sexual and reproductive health information is crucial aspect of comprehensive health information libraries have an opportunity to develop collections and reference strategies that allow patrons to learn about sexual and reproductive health information,MP4 Video,youtube video,63.0,consumer health public health public access,network of the national library of medicine,educator,health bytes sexual and reproductive health in libraries looking to provide evidence based sexual and reproductive health information in your library this webinar is for you sexual and reproductive health information is crucial aspect of comprehensive health information libraries have an opportunity to develop collections and reference strategies that allow patrons to learn about sexual and reproductive health information consumer health public health public access youtube video educator network of the national library of medicine
L005906112,health bytes the future will see you now ai for healthcare library perspective,https://www.youtube.com/watch?v=Kj24jytwu6Y,newly released ai tools are poised to dramatically disrupt multiple industries including healthcare and libraries this webinar explores numerous healthcare applications that use ai both current and in development from new industry saving bot workforce to self driving microscopes with ai comes the need for more student centered learning and greater information literacy needs which libraries can provide,MP4 Video,youtube video,54.0,data science,network of the national library of medicine,everyone,health bytes the future will see you now ai for healthcare library perspective newly released ai tools are poised to dramatically disrupt multiple industries including healthcare and libraries this webinar explores numerous healthcare applications that use ai both current and in development from new industry saving bot workforce to self driving microscopes with ai comes the need for more student centered learning and greater information literacy needs which libraries can provide data science youtube video everyone network of the national library of medicine
L005885112,health bytes special edition intro to the piecing together systematic reviews series,https://www.youtube.com/watch?v=l6r3fCFRqMg,introduction to the piecing together systematic reviews series is presented by margaret foster ms mph evidence synthesis and scholarly communication librarian and the head of the center for systematic reviews and research syntheses at the medical sciences library texas m university this special edition of health bytes with region 3 serves as an introduction to the 5 part piecing together systematic reviews series,MP4 Video,youtube video,51.0,other,network of the national library of medicine,everyone,health bytes special edition intro to the piecing together systematic reviews series introduction to the piecing together systematic reviews series is presented by margaret foster ms mph evidence synthesis and scholarly communication librarian and the head of the center for systematic reviews and research syntheses at the medical sciences library texas m university this special edition of health bytes with region 3 serves as an introduction to the 5 part piecing together systematic reviews series other youtube video everyone network of the national library of medicine
L005721112,health data standards and terminologies tutorial,https://www.nlm.nih.gov/oet/ed/healthdatastandards/index.html,explore the different types of health data standards and how they support interoperability of health information systems learn about relevant nlm terminology products tools and services,HTML,tutorial,150.0,terminology bioinformatics data management,training team user engagement program,everyone educator developer,health data standards and terminologies tutorial explore the different types of health data standards and how they support interoperability of health information systems learn about relevant nlm terminology products tools and services terminology bioinformatics data management tutorial everyone educator developer training team user engagement program
